Reference, Value, Footprint, Datasheet, MPN, Manufacturer, Val, DNP, Manufaturer
"J5","0473460001","quicklogic-quick-feather-board-footprints:USB_Micro_B_Female_0473460001","https://www.molex.com/pdm_docs/sd/473460001_sd.pdf","0473460001","Molex","","",""
"L1","DFE201610E-R47M=P2","quicklogic-quick-feather-board-footprints:0805-res","","DFE201610E-R47M=P2","Murata","","",""
"R1","R_100k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW0402100KFKEDHP","VISHAY","100k","",""
"C3","C_100p_0402","quicklogic-quick-feather-board-footprints:0402-cap","","0402N101J500CT","WALSIN","100p","",""
"C1","C_4u7_0603","quicklogic-quick-feather-board-footprints:0603-cap","","C1608X5R1V475M080AC","TDK","4u7","",""
"C4","C_22u_0603","quicklogic-quick-feather-board-footprints:0603-cap","","GRM188R60J226MEA0D","MURATA","22u","",""
"R5","R_100k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW0402100KFKEDHP","VISHAY","100k","",""
"D2","LG_L29K-G2J1-24-Z","quicklogic-quick-feather-board-footprints:LED_0603","https://dammedia.osram.info/media/resource/hires/osram-dam-2493945/LG%20L29K.pdf","LG L29K-G2J1-24-Z","OSRAM Opto Semiconductors Inc.","","",""
"D1","MBR0520LT1G","quicklogic-quick-feather-board-footprints:SOD-123","http://www.onsemi.com/pub/Collateral/MBR0520LT1-D.PDF","MBR0520LT1G","ON Semiconductor","","",""
"U1","TPS62821DLCR","quicklogic-quick-feather-board-footprints:QFN-8_2x1mm","","TPS62821DLCR","Texas Instruments","","",""
"R4","R_453k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW0402453KFKED","VISHAY","453k","",""
"R8","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"R10","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"R6","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"X1","ECS-_327-12_5-34B-TR","quicklogic-quick-feather-board-footprints:SMD-2_3.2x1.5mm","http://www.ecsxtal.com/store/pdf/ecx-31b.pdf","ECS-.327-12.5-34B-TR","ECS Inc.","","",""
"C6","C_12p_0402","quicklogic-quick-feather-board-footprints:0402-cap","","CGA2B2C0G1H120J050BA","TDK","12p","",""
"C7","C_12p_0402","quicklogic-quick-feather-board-footprints:0402-cap","","CGA2B2C0G1H120J050BA","TDK","12p","",""
"C8","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"U3","GD25Q16CWIGR","quicklogic-quick-feather-board-footprints:GD25Q16CWIG","http://www.gigadevice.com/datasheet/gd25q16c/","GD25Q16CWIGR","GigaDevice","","",""
"R7","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","",""
"R11","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","",""
"R9","R_1k5_0402","quicklogic-quick-feather-board-footprints:0402-res","","ERJ2RKF1501X","PANASONIC_ELECTRONIC_COMPONENTS","1k5","",""
"MIC1","IM69D130","quicklogic-quick-feather-board-footprints:IM69D130","https://www.infineon.com/dgdl/Infineon-IM69D130-DS-v01_00-EN.pdf?fileId=5546d462602a9dc801607a0e46511a2e","IM69D130","Infineon","","",""
"R13","R_100R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CR0402-FX-1000GLF","BOURNS","100R","",""
"C9","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"D3","TPD2EUSB30DRTR","quicklogic-quick-feather-board-footprints:SOT-3","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd2eusb30","TPD2EUSB30DRTR","Texas Instruments","","",""
"C10","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"U4","DPS310","quicklogic-quick-feather-board-footprints:PG-VLGA-8-2","https://www.infineon.com/dgdl/Infineon-DPS310-DataSheet-v01_01-EN.pdf?fileId=5546d462576f34750157750826c42242","DPS310","Infineon","","",""
"R16","R_200k_0402","quicklogic-quick-feather-board-footprints:0402-res","","RC0402FR-07200KL","YAGEO_(PHYCOMP)","200k","",""
"R15","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"R14","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"U5","MC3635","quicklogic-quick-feather-board-footprints:MC3635","https://mcubemems.com/wp-content/uploads/2019/06/MC3635-Datasheet-APS-048-0044v1.6.pdf","MC3635","mCube","","",""
"C11","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"R19","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"R21","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","1",""
"R22","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","1",""
"C12","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"C13","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"C15","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"C17","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"R18","R_4k7_0402","quicklogic-quick-feather-board-footprints:0402-res","","ERJ2GEJ472X","PANASONIC_ELECTRONIC_COMPONENTS","4k7","",""
"R20","R_4k7_0402","quicklogic-quick-feather-board-footprints:0402-res","","ERJ2GEJ472X","PANASONIC_ELECTRONIC_COMPONENTS","4k7","",""
"C16","C_4u7_0603","quicklogic-quick-feather-board-footprints:0603-cap","","C1608X5R1V475M080AC","TDK","4u7","",""
"C14","C_4u7_0603","quicklogic-quick-feather-board-footprints:0603-cap","","C1608X5R1V475M080AC","TDK","4u7","",""
"R23","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"TP6","TP_SMD1MM","quicklogic-quick-feather-board-footprints:Testpoint_smd_1mm","","N/A","N/A","","",""
"R26","R_100R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CR0402-FX-1000GLF","BOURNS","100R","",""
"R24","R_100R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CR0402-FX-1000GLF","BOURNS","100R","",""
"R28","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","",""
"R29","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","",""
"J6","FTSH-105-01-L-DV-K","quicklogic-quick-feather-board-footprints:PinHeader_2x5_P1.27_SMD","http://suddendocs.samtec.com/prints/ftsh-1xx-xx-xxx-dv-xxx-xxx-mkt.pdf","FTSH-105-01-L-DV-K","Samtec Inc.","","",""
"C18","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"R34","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"R32","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"D6","SD05C.TCT","quicklogic-quick-feather-board-footprints:SOD-323-SD05","https://www.mouser.com/datasheet/2/761/sdxxc-1277747.pdf","SD05C.TCT","Semtec","","",""
"D11","TPD2EUSB30DRTR","quicklogic-quick-feather-board-footprints:SOT-3","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd2eusb30","TPD2EUSB30DRTR","Texas Instruments","","",""
"R25","R_220R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRG0402J220R","TE_CONNECTIVITY_/_NEOHM","220R","",""
"J3","1x16_pinhead","quicklogic-quick-feather-board-footprints:1x16_pinhead","","61301611121 ","Wurth Elektronik","","",""
"S2","KMR2","quicklogic-quick-feather-board-footprints:SW_SPST_4.2x2.8","http://www.farnell.com/datasheets/2631211.pdf","KMR211NGLFS","C&K Components","","",""
"S1","KMR2","quicklogic-quick-feather-board-footprints:SW_SPST_4.2x2.8","http://www.farnell.com/datasheets/2631211.pdf","KMR211NGLFS","C&K Components","","",""
"J4","S2B-PH-SM4-TB_LF__SN_","quicklogic-quick-feather-board-footprints:PinHeader_2x1mm_P2mm_SMD_RA","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","S2B-PH-SM4-TB(LF)(SN)","JST Sales America Inc.","","",""
"R36","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","1",""
"R37","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"TP2","TP_SMD1MM","quicklogic-quick-feather-board-footprints:Testpoint_smd_1mm","","N/A","N/A","","",""
"TP1","TP_SMD1MM","quicklogic-quick-feather-board-footprints:Testpoint_smd_1mm","","N/A","N/A","","",""
"IC1","EOS-S3-QFN","quicklogic-quick-feather-board-footprints:QFN-64_EP_8.5x8.5_EOS",""
"U2","MCP73831T-2ACI_OT","quicklogic-quick-feather-board-footprints:SOT-753","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","MCP73831T-2ACI/OT","Microchip Technology","","",""
"Q1","NX3008CBKV","quicklogic-quick-feather-board-footprints:SOT-563","https://assets.nexperia.com/documents/data-sheet/NX3008CBKV.pdf","NX3008CBKV","Nexperia","","",""
"Q2","2N7002PV","quicklogic-quick-feather-board-footprints:SOT-563","https://assets.nexperia.com/documents/data-sheet/2N7002PV.pdf","2N7002PV","Nexperia","","",""
"Q3","2N7002PV","quicklogic-quick-feather-board-footprints:SOT-563","https://assets.nexperia.com/documents/data-sheet/2N7002PV.pdf","2N7002PV","Nexperia","","",""
"D4","ASMB-MTB1-0A3A2","quicklogic-quick-feather-board-footprints:LED-PLCC4_3.2x2.8mm_B","https://docs.broadcom.com/docs/AV02-4194EN","UHD1110-FKA","Broadcom","","",""
"R31","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"J8","2x8_pinhead","quicklogic-quick-feather-board-footprints:2x8_pinhead","","2213S-16G ","Multicomp","","",""
"R42","EXB2HV220JV","quicklogic-quick-feather-board-footprints:R_Array_Convex_8x0602","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/218/TL3365.pdf","EXB2HV220JV","Panasonic","","",""
"R33","EXB2HV220JV","quicklogic-quick-feather-board-footprints:R_Array_Convex_8x0602","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/218/TL3365.pdf","EXB2HV220JV","Panasonic","","",""
"R30","EXB2HV220JV","quicklogic-quick-feather-board-footprints:R_Array_Convex_8x0602","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/218/TL3365.pdf","EXB2HV220JV","Panasonic","","",""
"R40","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","",""
"R39","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","",""
"R38","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","",""
"R41","EXB2HV220JV","quicklogic-quick-feather-board-footprints:R_Array_Convex_8x0602","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/218/TL3365.pdf","EXB2HV220JV","Panasonic","","",""
"J2","1x12_pinhead","quicklogic-quick-feather-board-footprints:1x12_pinhead","","MC34733","","","","Multicomp"
"D5","TPD2EUSB30DRTR","quicklogic-quick-feather-board-footprints:SOT-3","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd2eusb30","TPD2EUSB30DRTR","Texas Instruments","","",""
"M1","mounting_pad","quicklogic-quick-feather-board-footprints:MPAD",""
"M2","mounting_pad","quicklogic-quick-feather-board-footprints:MPAD",""
"M3","mounting_pad","quicklogic-quick-feather-board-footprints:MPAD",""
"M4","mounting_pad","quicklogic-quick-feather-board-footprints:MPAD",""
"TP5","TP_THT","quicklogic-quick-feather-board-footprints:Testpoint_THT_Drill0.9mm","","N/A","N/A","","",""
"TP4","TP_THT","quicklogic-quick-feather-board-footprints:Testpoint_THT_Drill0.9mm","","N/A","N/A","","",""
"N2","ql_logo","quicklogic-quick-feather-board-footprints:LOGO",""
"N1","oshw_logo","quicklogic-quick-feather-board-footprints:oshw-logo",""
"C5","C_4u7_0603","quicklogic-quick-feather-board-footprints:0603-cap","","C1608X5R1V475M080AC","TDK","4u7","",""
"C2","C_4u7_0603","quicklogic-quick-feather-board-footprints:0603-cap","","C1608X5R1V475M080AC","TDK","4u7","",""
"R35","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","1",""
"R2","R_4k7_0402","quicklogic-quick-feather-board-footprints:0402-res","","ERJ2GEJ472X","PANASONIC_ELECTRONIC_COMPONENTS","4k7","",""
"R3","R_1k5_0402","quicklogic-quick-feather-board-footprints:0402-res","","ERJ2RKF1501X","PANASONIC_ELECTRONIC_COMPONENTS","1k5","",""
"R17","R_100k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW0402100KFKEDHP","VISHAY","100k","",""
"R12","R_100k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW0402100KFKEDHP","VISHAY","100k","",""
"J7","61300211121","quicklogic-quick-feather-board-footprints:PinHeader_1x2_P2.54_Drill0.9mm","https://katalog.we-online.de/em/datasheet/6130xx11121.pdf","61300211121","Wurth Electronic","","",""
"J1","61300211121","quicklogic-quick-feather-board-footprints:PinHeader_1x2_P2.54_Drill0.9mm","https://katalog.we-online.de/em/datasheet/6130xx11121.pdf","61300211121","Wurth Electronic","","",""
